"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"230","CITY ISLAND WETLANDS","BRONX        ",8.005,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"231","SARA D. ROOSEVELT PARK","MANHATTAN    ",7.85,"ONE ACRE OR LARGER",0,0,0,1,0,3,1,5,"Q1",2015
"232","EWEN PARK","BRONX        ",7.84,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"233","HERBERT VON KING PARK","BROOKLYN     ",7.819,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"234","MOUNT PROSPECT PARK","BROOKLYN     ",7.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"235","RAINEY PARK BRONX","BRONX        ",7.738,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"236","DETECTIVE KEITH L WILLIAMS PARK","QUEENS       ",7.683,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"237","FLUSHING FIELDS","QUEENS       ",7.671,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"238","PALMER INLET","BRONX        ",7.49,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"239","MIDLAND FIELD","STATEN ISLAND",7.463,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"240","SCHMUL PARK","STATEN ISLAND",7.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"241","BRIDGE PARK BRONX","BRONX        ",7.156,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"242","BEACH 30TH STREET PLAYGROUND","QUEENS       ",7.122,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"243","BROWER PARK","BROOKLYN     ",7.047,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"244","JOYCE KILMER PARK","BRONX        ",6.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"245","MARIA HERNANDEZ PARK","BROOKLYN     ",6.873,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"246","THE HIGH LINE","MANHATTAN    ",6.73,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"247","FRIENDS FIELD","BROOKLYN     ",6.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"248","LINDOWER PARK","BROOKLYN     ",6.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
"249","J. HOOD WRIGHT PARK","MANHATTAN    ",6.699,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q1",2015
