"","PARK","BOROUGH","SIZE.(ACRES)","CATEGORY","MURDER","RAPE","ROBBERY","FELONY.ASSAULT","BURGLARY","GRAND.LARCENY","GRAND.LARCENY.OF.MOTOR.VEHICLE","TOTAL","Quarter","Year"
"8047","DAVIDSON PLAYGROUND","BRONX        ",0.207,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8048","ASTORIA HEALTH PLAYGROUND","QUEENS       ",0.207,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8049","CHIARANTANO PLAYGROUND","BROOKLYN     ",0.206,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8050","MINETTA PLAYGROUND","MANHATTAN    ",0.206,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8051","CORONA MAC PARK","QUEENS       ",0.205,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8052","THORPE FAMILY PLAYGROUND","BRONX        ",0.201,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8053","SUNNERS PLAYGROUND","BROOKLYN     ",0.197,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8054","TUDOR GROVE PLAYGROUND","MANHATTAN    ",0.192,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8055","RODNEY PLAYGROUND CENTER","BROOKLYN     ",0.189,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8056","SEABURY PARK","BRONX        ",0.186,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8057","EAE J MITCHELL PARK","BRONX        ",0.183,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8058","PENN TRIANGLE","BROOKLYN     ",0.183,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8059","METROPOLITAN RECREATION CENTER","BROOKLYN     ",0.181,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8060","RAMON APONTE PARK","MANHATTAN    ",0.174,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8061","FIELD OF DREAMS PARK","BRONX        ",0.172,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8062","BILL BOJANGLES ROBINSON PLAYGROUND","MANHATTAN    ",0.172,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8063","RECREATION CENTER 54","MANHATTAN    ",0.17,"POOL & RECREATION CENTER LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8064","PEARL ST PLAYGROUND","MANHATTAN    ",0.162,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8065","LEWIS PLAYGROUND","BROOKLYN     ",0.161,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8066","NORTH PACIFIC PLAYGROUND","BROOKLYN     ",0.155,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8067","MORRIS MESA","BRONX        ",0.15,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8068","PEACE PARK","BRONX        ",0.141,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8069","DUKE PARK","BROOKLYN     ",0.137,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8070","SOBEL PLAYGROUND","BROOKLYN     ",0.135,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8071","CAPTAIN JACOB JOSEPH PLAYGROUND","MANHATTAN    ",0.135,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8072","GRAND CANAL COURT","MANHATTAN    ",0.134,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8073","LT. FEDERICO NARVAEZ TOT LOT","BROOKLYN     ",0.125,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8074","WEST 186TH STREET BASKETBALL COURT","MANHATTAN    ",0.123,"BASKETBALL & PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8075","SOPHIE IRENE LOEB","MANHATTAN    ",0.122,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8076","BARRETTO PARK","BRONX        ",0.12,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8077","ABYSSINIAN TOT LOT","MANHATTAN    ",0.118,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8078","ALEXANDER'S ALLEY","BRONX        ",0.11,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8079","EAST FLATBUSH CHILDREN'S PARK","BROOKLYN     ",0.106,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8080","CORONA HEALTH SANCTUARY","QUEENS       ",0.101,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8081","MOHEGAN TRIANGLE","BRONX        ",0.096,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8082","PLAYGROUND OF THE AMERICAS","MANHATTAN    ",0.079,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8083","PRIVATE WILLIAM GRAY PARK","QUEENS       ",0.069,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8084","ADRIENNE'S PLAYGROUND","MANHATTAN    ",0,"PLAYGROUND LESS THAN ONE ACRE",0,0,0,0,0,0,0,0,"Q3",2016
"8086","PELHAM BAY PARK","BRONX        ",2771.747,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8087","VAN CORTLANDT PARK","BRONX        ",1146.43,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q4",2016
"8088","ROCKAWAY BEACH AND BOARDWALK","QUEENS       ",1072.564,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8089","FRESHKILLS PARK","STATEN ISLAND",913.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8090","FLUSHING MEADOWS CORONA PARK","QUEENS       ",897.69,"ONE ACRE OR LARGER",0,0,1,1,0,9,1,12,"Q4",2016
"8091","LATOURETTE PARK & GOLF COURSE","STATEN ISLAND",843.97,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8092","MARINE PARK","BROOKLYN     ",798,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8093","BELT PARKWAY/SHORE PARKWAY","BROOKLYN/QUEENS",760.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8094","BRONX PARK","BRONX        ",718.373,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8095","FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH","STATEN ISLAND",644.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8096","ALLEY POND PARK","QUEENS       ",635.514,"ONE ACRE OR LARGER",0,0,0,0,0,2,0,2,"Q4",2016
"8097","PROSPECT PARK","BROOKLYN     ",526.25,"ONE ACRE OR LARGER",0,0,2,0,1,6,0,9,"Q4",2016
"8098","FOREST PARK","QUEENS       ",506.86,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8099","GRAND CENTRAL PARKWAY","QUEENS       ",460.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8100","FERRY POINT PARK","BRONX        ",413.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8101","CONEY ISLAND BEACH & BOARDWALK","BROOKLYN     ",399.203,"ONE ACRE OR LARGER",0,0,3,0,1,1,0,5,"Q4",2016
"8102","CUNNINGHAM PARK","QUEENS       ",358,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8103","RICHMOND PARKWAY","STATEN ISLAND",350.983,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8104","CROSS ISLAND PARKWAY","QUEENS       ",326.895,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8105","GREAT KILLS PARK","STATEN ISLAND",315.094,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8106","WOLFE'S POND PARK","STATEN ISLAND",302.693,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8107","CONFERENCE HOUSE PARK","STATEN ISLAND",286.382,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8108","RANDALL'S ISLAND PARK","MANHATTAN    ",256.111,"ONE ACRE OR LARGER",0,0,0,1,0,3,0,4,"Q4",2016
"8109","ROCKAWAY COMMUNITY PARK","QUEENS       ",255.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8110","KISSENA PARK","QUEENS       ",237.147,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8111","RIVERSIDE PARK","MANHATTAN    ",235.765,"ONE ACRE OR LARGER",0,0,1,1,0,4,0,6,"Q4",2016
"8112","HUTCHINSON RIVER PARKWAY","BRONX        ",229.14,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8113","BLUE HERON PARK","STATEN ISLAND",217.45,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8114","DYKER BEACH PARK","BROOKLYN     ",216.655,"ONE ACRE OR LARGER",0,1,0,0,0,2,0,3,"Q4",2016
"8115","WILLOWBROOK PARK","STATEN ISLAND",214.947,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8116","STATEN ISLAND INDUSTRIAL PARK","STATEN ISLAND",210.928,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8117","SILVER LAKE PARK","STATEN ISLAND",205.977,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8118","BRONX RIVER PARKWAY","BRONX        ",205.647,"ONE ACRE OR LARGER",0,1,0,0,0,0,0,1,"Q4",2016
"8119","SOUNDVIEW PARK","BRONX        ",205.31,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,"Q4",2016
"8120","BELT PARKWAY","QUEENS       ",202.647,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8121","WILLOWBROOK PARKWAY","STATEN ISLAND",198.481,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8122","INWOOD HILL PARK","MANHATTAN    ",196.398,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8123","CLOVE LAKES PARK","STATEN ISLAND",193.423,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q4",2016
"8124","FORT WASHINGTON PARK","MANHATTAN    ",184.143,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8125","IDLEWILD PARK","QUEENS       ",180.85,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8126","WARDS ISLAND PARK","MANHATTAN    ",176.581,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8127","SOUTH SHORE COUNTRY CLUB","STATEN ISLAND",173.994,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8128","SAW MILL CREEK MARSH","STATEN ISLAND",171.778,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8129","BLOOD ROOT VALLEY","STATEN ISLAND",161.242,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8130","JAMAICA BAY PARK","QUEENS       ",149.54,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8131","KISSENA CORRIDOR PARK","QUEENS       ",146.81,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8132","HIGHLAND PARK","BROOKLYN/QUEENS",146.339,"ONE ACRE OR LARGER",0,0,1,1,0,0,0,2,"Q4",2016
"8133","ARDEN WOODS","STATEN ISLAND",145.864,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8134","RIVERDALE PARK","BRONX        ",144.29,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8135","OCEAN PARKWAY MALLS","BROOKLYN     ",140,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8136","BLOOMINGDALE PARK","STATEN ISLAND",138.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8137","OCEAN BREEZE PARK","STATEN ISLAND",136.568,"ONE ACRE OR LARGER",0,0,0,0,1,0,0,1,"Q4",2016
"8138","CANARSIE PARK","BROOKLYN     ",132.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8139","HIGHBRIDGE PARK MANHATTAN SIDE","MANHATTAN    ",130.1,"ONE ACRE OR LARGER",1,0,4,1,1,0,0,7,"Q4",2016
"8140","CROTONA PARK","BRONX        ",127.5,"ONE ACRE OR LARGER",0,0,3,1,0,1,0,5,"Q4",2016
"8141","PAERDEGAT BASIN PARK","BROOKLYN     ",118.795,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8142","HOOK CREEK PARK","QUEENS       ",111.163,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8143","CRESCENT BEACH PARK","STATEN ISLAND",110.96,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8144","CLEARVIEW PARK GOLF COURSE","QUEENS       ",110.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8145","BAISLEY POND PARK","QUEENS       ",109.609,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8146","PELHAM PARKWAY","BRONX        ",108.91,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8147","PRALLS ISLAND","STATEN ISLAND",107.514,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8148","MARINERS MARSH PARK","STATEN ISLAND",107.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8149","DOUGLASTON PARK GOLF COURSE","QUEENS       ",104.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8150","LEMON CREEK PARK","STATEN ISLAND",104.545,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8151","SPRING CREEK PARK","BROOKLYN/QUEENS",99.566,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8152","HIGH ROCK PARK","STATEN ISLAND",94.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8153","LONG POND PARK","STATEN ISLAND",91.948,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8154","BROOKVILLE PARK","QUEENS       ",89.946,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8155","ISLE OF MEADOWS","STATEN ISLAND",87.516,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8156","CALVERT VAUX PARK","BROOKLYN     ",85.527,"ONE ACRE OR LARGER",0,0,1,0,0,1,0,2,"Q4",2016
"8157","PUGSLEY CREEK PARK","BRONX        ",83.615,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8158","SNUG HARBOR CULTURAL CENTER","STATEN ISLAND",83.3,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8159","MOSHOLU PARKWAY","BRONX        ",80.936,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8160","MCGUIRE FIELDS","BROOKLYN     ",77.181,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8161","FRESH CREEK NATURE PRESERVE","BROOKLYN     ",77.044,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8162","JACKIE ROBINSON PARKWAY","BROOKLYN/QUEENS",72.75,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8163","FORT TRYON PARK","MANHATTAN    ",67.213,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8164","RIVERSIDE PARK SOUTH","MANHATTAN    ",66.693,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8165","EASTERN PARKWAY","BROOKLYN     ",65.7,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8166","FOUR SPARROW MARSH","BROOKLYN     ",64.665,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8167","FORT TOTTEN PARK","QUEENS       ",60.394,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8168","ASTORIA PARK","QUEENS       ",59.956,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8169","LAURELTON PARKWAY","QUEENS       ",59.612,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8170","RED HOOK RECREATION AREA","BROOKLYN     ",58.503,"ONE ACRE OR LARGER",0,1,0,0,0,1,0,2,"Q4",2016
"8171","SHORE PARK AND PARKWAY","BROOKLYN     ",58,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8172","SPRING CREEK PARK ADDITION","BROOKLYN/QUEENS",57.921,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8173","JUNIPER VALLEY PARK","QUEENS       ",55.639,"ONE ACRE OR LARGER",0,0,2,0,0,0,0,2,"Q4",2016
"8174","LITTLE BAY PARK","QUEENS       ",55.22,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8175","POWELL'S COVE PARK","QUEENS       ",55.023,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8176","HENRY HUDSON PARKWAY","BRONX        ",54.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8177","HARLEM RIVER PARK","MANHATTAN    ",53.967,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8178","DUBOS POINT WILDLIFE SANCTUARY","QUEENS       ",53.298,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8179","ROY WILKINS RECREATION CENTER","QUEENS       ",53.238,"ONE ACRE OR LARGER",0,0,0,0,0,2,0,2,"Q4",2016
"8180","REED'S BASKET WILLOW SWAMP PARK","STATEN ISLAND",52.375,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8181","BROOKLYN BOTANIC GARDEN","BROOKLYN     ",47.57,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8182","MEREDITH WOODS","STATEN ISLAND",47.521,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8183","QUEENS FARM PARK","QUEENS       ",47.08,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8184","EAST RIVER PARK","MANHATTAN    ",45.88,"ONE ACRE OR LARGER",0,0,0,0,0,3,0,3,"Q4",2016
"8185","CROCHERON PARK","QUEENS       ",45.79,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8186","MACOMBS DAM PARK","BRONX        ",44.174,"ONE ACRE OR LARGER",1,0,1,0,0,0,0,2,"Q4",2016
"8187","MANHATTAN BEACH PARK","BROOKLYN     ",42.941,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8188","UDALL'S PARK PRESERVE","QUEENS       ",42.768,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8189","FAIRVIEW PARK","STATEN ISLAND",42.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8190","BAYSWATER PARK","QUEENS       ",40.07,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8191","DEERE PARK","STATEN ISLAND",39.779,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8192","PARADE GROUND","BROOKLYN     ",39.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8193","CLAREMONT PARK","BRONX        ",38.536,"ONE ACRE OR LARGER",0,0,3,0,0,0,0,3,"Q4",2016
"8194","BROAD CHANNEL WETLANDS","QUEENS       ",37.95,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8195","CONEY ISLAND BOAT BASIN","BROOKLYN     ",36.81,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8196","BUNKER PONDS PARK","STATEN ISLAND",36.691,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8197","SETON FALLS PARK","BRONX        ",35.771,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8198","MCCARREN PARK","BROOKLYN     ",35.713,"ONE ACRE OR LARGER",0,1,1,0,0,1,0,3,"Q4",2016
"8199","ST. MARY'S PARK BRONX","BRONX        ",35.311,"ONE ACRE OR LARGER",0,0,2,1,0,0,0,3,"Q4",2016
"8200","SHOOTERS ISLAND","STATEN ISLAND",34.689,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8201","NORTH BROTHER ISLAND","BRONX        ",30.395,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8202","FORT GREENE PARK","BROOKLYN     ",30.168,"ONE ACRE OR LARGER",0,0,0,0,0,3,0,3,"Q4",2016
"8203","BATTERY PARK CITY","MANHATTAN    ",29.99,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8204","MORNINGSIDE PARK","MANHATTAN    ",29.888,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8205","MACNEIL PARK","QUEENS       ",28.87,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8206","ALLEY ATHLETIC PLAYGROUND","QUEENS       ",27.531,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8207","VERNAM BARBADOES PENINSULA","QUEENS       ",27.484,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8208","COLLEGE POINT FIELDS","QUEENS       ",26.83,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8209","KAISER PARK","BROOKLYN     ",26.257,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8210","SUNSET PARK","BROOKLYN     ",24.498,"ONE ACRE OR LARGER",0,0,1,1,0,0,0,2,"Q4",2016
"8211","OWL'S HEAD PARK","BROOKLYN     ",24.218,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8212","SPRINGFIELD PARK","QUEENS       ",23.543,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8213","RECREATIONAL AREA","MANHATTAN    ",23.093,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8214","KING FISHER PARK","STATEN ISLAND",23.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8215","SIEDENBURG PARK","STATEN ISLAND",22.882,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8216","ST. NICHOLAS PARK","MANHATTAN    ",22.74,"ONE ACRE OR LARGER",0,0,2,0,0,1,0,3,"Q4",2016
"8217","SOUTH BROTHER ISLAND","BRONX        ",22.16,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8218","LOCUST POINT MARINA","BRONX        ",22.07,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8219","BATTERY PARK","MANHATTAN    ",21.88,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8220","BROOKLYN BRIDGE PARK","BROOKLYN     ",21.185,"ONE ACRE OR LARGER",0,0,0,0,0,3,0,3,"Q4",2016
"8221","ASSER LEVY PARK","BROOKLYN     ",21.039,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8222","SEASIDE WILDLIFE NATURE PARK","STATEN ISLAND",20.907,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8223","WAVE HILL","BRONX        ",20.867,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8224","QUEENSBRIDGE PARK","QUEENS       ",20.34,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8225","MARCUS GARVEY PARK","MANHATTAN    ",20.165,"ONE ACRE OR LARGER",0,1,1,0,0,0,0,2,"Q4",2016
"8226","ISHAM PARK","MANHATTAN    ",20.132,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8227","WILLIAMSBRIDGE OVAL","BRONX        ",19.749,"ONE ACRE OR LARGER",0,0,3,1,0,0,0,4,"Q4",2016
"8228","BRANT POINT WILDLIFE SANCTUARY","QUEENS       ",19.556,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8229","BROAD CHANNEL AMERICAN PARK","QUEENS       ",18.768,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8230","THEODORE ROOSEVELT PARK","MANHATTAN    ",17.574,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8231","BENSONHURST PARK","BROOKLYN     ",17.5,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,"Q4",2016
"8232","LINCOLN TERRACE / ARTHUR S. SOMERS PARK","BROOKLYN     ",17.14,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,"Q4",2016
"8233","JOHN GOLDEN PARK","QUEENS       ",17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8234","BAYVIEW TERRACE PARK","STATEN ISLAND",16.944,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8235","JONES WOODS PARK","STATEN ISLAND",16.93,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8236","FRANCIS LEWIS PARK","QUEENS       ",16.831,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8237","LEIF ERICSON PARK","BROOKLYN     ",16.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
"8238","EIBS POND PARK","STATEN ISLAND",16.505,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,"Q4",2016
